video_id,video_title,upload_date,view_count,like_count,comment_count
-2i4xmW6u2A,ZHU - In the Morning* [Short Cover],2018-09-23,288,11,0
avbZDwi4VTM,Amra Mandžukić #4 //BIH Women&#39;s National Volleyball Team,2018-05-17,808,13,0
TWkT6ovxAtQ,Animal Farm (BOSNIA Edition),2018-03-01,127,4,0
Bj0CMyhLDRU,Poklon Čani,2018-02-10,113,6,0
neGDJyEpkVw,žeks from skugric $$ thug life $$,2018-01-30,211,4,0
CvRncH8rdPc,"Riblja Čorba - Bože, koliko je volim (COVER)",2017-10-02,491,14,2
VgB6hCpFong,Šoferska je tuga pregolema (Guitar),2017-04-13,523,5,8
dUMmMRKPek4,Scientific method fromBosnia be like...,2017-02-20,190,3,0
lZvB18OSDe8,Intro 1,2017-02-18,36,0,0
-fVxmrQeTBA,Test 1,2017-02-15,76,1,4
-zy2pXzqwCM,Zabranjeno Pušenje - Ženi Nam Se Vukota //Solo (Cover),2017-01-21,3839,41,3
j6VUf73iY00,S.A.R.S. - Praktična žena (Bass Cover),2017-01-07,381,7,1
1kFw5iGUxSU,REPILF - 1312 NIJANSI CRNE (SPOT),2016-11-26,31537,322,32
4mVlcq8BHJk,dark cloud - broken promise (guitar cover),2016-08-01,335,9,0
EnqCrg8J0YU,snimanje karakteristika tranzistora.,2016-07-12,252,4,0
fD_TvzuH_vE,merrie melodies opening theme (guitar cover),2016-02-20,828,12,0
jRNvxO8ZPdo,Alice in Chains - Would? (Unplugged) cover,2014-07-28,178,3,1
